Session#,Title,Audio URL,Text URL,
1,佛說阿彌陀經,http://www.purelandwest.info/dzfs/001%20%E4%BD%9B%E8%AA%AA%E9%98%BF%E5%BD%8C%E9%99%80%E7%B6%93_1.mp3,,
2,稱讚淨土佛攝受經,http://www.purelandwest.info/dzfs/007%20%E7%A8%B1%E8%AE%9A%E6%B7%A8%E5%9C%9F%E4%BD%9B%E6%94%9D%E5%8F%97%E7%B6%93%20(%E9%98%BF%E5%BD%8C%E9%99%80%E7%B6%93%20%E7%8E%84%E5%A5%98%E5%A4%A7%E5%B8%AB%E8%AD%AF%E6%9C%AC)_1.mp3,https://deerpark.app/reader/T0367/1,
3,佛說觀無量壽佛經,http://www.purelandwest.info/dzfs/002%20%E4%BD%9B%E8%AA%AA%E8%A7%80%E7%84%A1%E9%87%8F%E5%A3%BD%E4%BD%9B%E7%B6%93_1.mp3,,
4,大誓至菩薩念佛圓通章,http://www.purelandwest.info/dzfs/005%20%E5%A4%A7%E8%AA%93%E8%87%B3%E8%8F%A9%E8%96%A9%E5%BF%B5%E4%BD%9B%E5%9C%93%E9%80%9A%E7%AB%A0_1.mp3,,
5,普賢菩薩行願品,http://www.purelandwest.info/dzfs/006%20%E6%99%AE%E8%B3%A2%E8%8F%A9%E8%96%A9%E8%A1%8C%E9%A1%98%E5%93%81_1.mp3,https://deerpark.app/reader/T0293/40,
6,佛說無量壽經（上）,http://www.purelandwest.info/dzfs/003%E4%BD%9B%E8%AA%AA%E7%84%A1%E9%87%8F%E5%A3%BD%E7%B6%93%EF%BC%88%E4%B8%8A%EF%BC%89_1.mp3,,
6,佛說無量壽經（下）,http://www.purelandwest.info/dzfs/004%20%E4%BD%9B%E8%AA%AA%E7%84%A1%E9%87%8F%E5%A3%BD%E7%B6%93%20%EF%BC%88%E4%B8%8B%EF%BC%89_1.mp3,,
7,佛說無量清淨平等覺經（上）,http://www.purelandwest.info/dzfs/008%20%E4%BD%9B%E8%AA%AA%E7%84%A1%E9%87%8F%E6%B8%85%E6%B7%A8%E5%B9%B3%E7%AD%89%E8%A6%BA%E7%B6%93%20%EF%BC%88%E4%B8%8A%EF%BC%89_1.mp3,https://deerpark.app/reader/T0361/1,
7,佛說無量清淨平等覺經（中）,http://www.purelandwest.info/dzfs/009%20%E4%BD%9B%E8%AA%AA%E7%84%A1%E9%87%8F%E6%B8%85%E6%B7%A8%E5%B9%B3%E7%AD%89%E8%A6%BA%E7%B6%93%EF%BC%88%E4%B8%AD%EF%BC%89_1.mp3,https://deerpark.app/reader/T0361/2,
7,佛說無量清淨平等覺經（下）,http://www.purelandwest.info/dzfs/010%20%E4%BD%9B%E8%AA%AA%E7%84%A1%E9%87%8F%E6%B8%85%E6%B7%A8%E5%B9%B3%E7%AD%89%E8%A6%BA%E7%B6%93%EF%BC%88%E4%B8%8B%EF%BC%89_1.mp3,https://deerpark.app/reader/T0361/3,
8,佛說阿彌陀三耶三佛薩樓佛檀過度人道經（上1）,http://www.purelandwest.info/dzfs/011%20%E4%BD%9B%E8%AA%AA%E9%98%BF%E5%BD%8C%E9%99%80%E4%B8%89%E8%80%B6%E4%B8%89%E4%BD%9B%E8%96%A9%E6%A8%93%E4%BD%9B%E6%AA%80%E9%81%8E%E5%BA%A6%E4%BA%BA%E9%81%93%E7%B6%93%EF%BC%88%E4%B8%8A1%EF%BC%89_1.mp3,https://deerpark.app/reader/T0362/1,
8,佛說阿彌陀三耶三佛薩樓佛檀過度人道經（上2）,http://www.purelandwest.info/dzfs/012%20%E4%BD%9B%E8%AA%AA%E9%98%BF%E5%BD%8C%E9%99%80%E4%B8%89%E8%80%B6%E4%B8%89%E4%BD%9B%E8%96%A9%E6%A8%93%E4%BD%9B%E6%AA%80%E9%81%8E%E5%BA%A6%E4%BA%BA%E9%81%93%E7%B6%93%EF%BC%88%E4%B8%8A2%EF%BC%89_1.mp3,https://deerpark.app/reader/T0362/1,
8,佛說阿彌陀三耶三佛薩樓佛檀過度人道經（下）,http://www.purelandwest.info/dzfs/013%20%E4%BD%9B%E8%AA%AA%E9%98%BF%E5%BD%8C%E9%99%80%E4%B8%89%E8%80%B6%E4%B8%89%E4%BD%9B%E8%96%A9%E6%A8%93%E4%BD%9B%E6%AA%80%E9%81%8E%E5%BA%A6%E4%BA%BA%E9%81%93%E7%B6%93%EF%BC%88%E4%B8%8B%EF%BC%89_1.mp3,https://deerpark.app/reader/T0362/2,
9,大寶積經無量壽如來會（上）,http://www.purelandwest.info/dzfs/014%20%E5%A4%A7%E5%AF%B6%E7%A9%8D%E7%B6%93%E7%84%A1%E9%87%8F%E5%A3%BD%20%E5%A6%82%E4%BE%86%E6%9C%83%EF%BC%88%E4%B8%8A%EF%BC%89_1.mp3,https://deerpark.app/reader/T0310/17,
9,大寶積經無量壽如來會（下）,http://www.purelandwest.info/dzfs/015%20%E5%A4%A7%E5%AF%B6%E7%A9%8D%E7%B6%93%E7%84%A1%E9%87%8F%E5%A3%BD%E5%A6%82%E4%BE%86%E6%9C%83%EF%BC%88%E4%B8%8B%EF%BC%89_1.mp3,https://deerpark.app/reader/T0310/18,
10,佛說大乘無量壽莊嚴經(卷上),http://www.purelandwest.info/dzfs/016%20%E4%BD%9B%E8%AA%AA%E5%A4%A7%E4%B9%98%E7%84%A1%E9%87%8F%E5%A3%BD%E8%8E%8A%E5%9A%B4%E7%B6%93(%E5%8D%B7%E4%B8%8A)_1.mp3,https://deerpark.app/reader/T0363/1,
10,佛說大乘無量壽莊嚴經(卷中),http://www.purelandwest.info/dzfs/017%20%E4%BD%9B%E8%AA%AA%E5%A4%A7%E4%B9%98%E7%84%A1%E9%87%8F%E5%A3%BD%E8%8E%8A%E5%9A%B4%E7%B6%93(%E5%8D%B7%E4%B8%AD)_1.mp3,https://deerpark.app/reader/T0363/2,
10,佛說大乘無量壽莊嚴經(卷下),http://www.purelandwest.info/dzfs/018%20%E4%BD%9B%E8%AA%AA%E5%A4%A7%E4%B9%98%E7%84%A1%E9%87%8F%E5%A3%BD%E8%8E%8A%E5%9A%B4%E7%B6%93(%E5%8D%B7%E4%B8%8B)_1.mp3,https://deerpark.app/reader/T0363/3,
11,阿彌陀經要解 1,http://www.purelandwest.info/dzfs/019%20%E9%98%BF%E5%BD%8C%E9%99%80%E7%B6%93%E8%A6%81%E8%A7%A3%201_1.mp3,,
11,阿彌陀經要解 2,http://www.purelandwest.info/dzfs/020%20%E9%98%BF%E5%BD%8C%E9%99%80%E7%B6%93%E8%A6%81%E8%A7%A3%202_1.mp3,,
11,阿彌陀經要解 3,http://www.purelandwest.info/dzfs/021%20%E9%98%BF%E5%BD%8C%E9%99%80%E7%B6%93%E8%A6%81%E8%A7%A3%203_1.mp3,,
11,阿彌陀經要解 4,http://www.purelandwest.info/dzfs/022%E9%98%BF%E5%BD%8C%E9%99%80%E7%B6%93%E8%A6%81%E8%A7%A3%204_1.mp3,,
11,阿彌陀經要解 5,http://www.purelandwest.info/dzfs/023%20%E9%98%BF%E5%BD%8C%E9%99%80%E7%B6%93%E8%A6%81%E8%A7%A3%205_1.mp3,,
11,阿彌陀經要解 6,http://www.purelandwest.info/dzfs/024%20%E9%98%BF%E5%BD%8C%E9%99%80%E7%B6%93%E8%A6%81%E8%A7%A3%206_1.mp3,,
11,阿彌陀經要解 7,http://www.purelandwest.info/dzfs/025%20%E9%98%BF%E5%BD%8C%E9%99%80%E7%B6%93%E8%A6%81%E8%A7%A3%207_1.mp3,,
11,阿彌陀經要解 8,http://www.purelandwest.info/dzfs/026%20%E9%98%BF%E5%BD%8C%E9%99%80%E7%B6%93%E8%A6%81%E8%A7%A3%208_1.mp3,,
11,阿彌陀經要解 9,http://www.purelandwest.info/dzfs/027%20%E9%98%BF%E5%BD%8C%E9%99%80%E7%B6%93%E8%A6%81%E8%A7%A3%209_1.mp3,,
11,阿彌陀經要解 10,http://www.purelandwest.info/dzfs/028%20%E9%98%BF%E5%BD%8C%E9%99%80%E7%B6%93%E8%A6%81%E8%A7%A3%2010_1.mp3,,
11,阿彌陀經要解 11,http://www.purelandwest.info/dzfs/029%20%E9%98%BF%E5%BD%8C%E9%99%80%E7%B6%93%E8%A6%81%E8%A7%A3%2011_1.mp3,,
11,阿彌陀經要解 12,http://www.purelandwest.info/dzfs/030%20%E9%98%BF%E5%BD%8C%E9%99%80%E7%B6%93%E8%A6%81%E8%A7%A3%2012_1.mp3,,
